id,study,source_family,target_family,variant,variant_label,head,seeds_target,seeds_done,status,wall_hours_remaining,priority,paper_table,dependencies,notes
B-commerce-1-V1,Backbone Training,commerce-1,—,V1,SMPNN-4 (parity),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-4 (parity) on commerce-1; params=13.0M
B-commerce-1-V3,Backbone Training,commerce-1,—,V3,SMPNN-8,native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-8 on commerce-1; params=23.0M
B-commerce-1-V4,Backbone Training,commerce-1,—,V4,Vanilla-6 (C3),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-6 (C3) on commerce-1; params=16.4M
B-commerce-1-V6,Backbone Training,commerce-1,—,V6,SMPNN-6 alpha=1e-4 (D2),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-4 (D2) on commerce-1; params=17.2M
B-commerce-1-V7,Backbone Training,commerce-1,—,V7,SMPNN-6 + attention (B1),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 + attention (B1) on commerce-1; params=21.9M
B-commerce-1-V8a,Backbone Training,commerce-1,—,V8a,SMPNN-6 no-alpha (A2),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-alpha (A2) on commerce-1; params=17.2M
B-commerce-1-V8b,Backbone Training,commerce-1,—,V8b,SMPNN-6 no-FF (A3),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-FF (A3) on commerce-1; params=14.0M
B-commerce-1-V8c,Backbone Training,commerce-1,—,V8c,SMPNN-6 no-GNN-LN (A4),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-GNN-LN (A4) on commerce-1; params=17.2M
B-commerce-2-V1,Backbone Training,commerce-2,—,V1,SMPNN-4 (parity),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-4 (parity) on commerce-2; params=13.0M
B-commerce-2-V3,Backbone Training,commerce-2,—,V3,SMPNN-8,native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-8 on commerce-2; params=23.0M
B-commerce-2-V4,Backbone Training,commerce-2,—,V4,Vanilla-6 (C3),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-6 (C3) on commerce-2; params=16.4M
B-commerce-2-V6,Backbone Training,commerce-2,—,V6,SMPNN-6 alpha=1e-4 (D2),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-4 (D2) on commerce-2; params=17.2M
B-commerce-2-V7,Backbone Training,commerce-2,—,V7,SMPNN-6 + attention (B1),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 + attention (B1) on commerce-2; params=21.9M
B-commerce-2-V8a,Backbone Training,commerce-2,—,V8a,SMPNN-6 no-alpha (A2),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-alpha (A2) on commerce-2; params=17.2M
B-commerce-2-V8b,Backbone Training,commerce-2,—,V8b,SMPNN-6 no-FF (A3),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-FF (A3) on commerce-2; params=14.0M
B-commerce-2-V8c,Backbone Training,commerce-2,—,V8c,SMPNN-6 no-GNN-LN (A4),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-GNN-LN (A4) on commerce-2; params=17.2M
B-others-2-V1,Backbone Training,others-2,—,V1,SMPNN-4 (parity),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-4 (parity) on others-2; params=13.0M
B-others-2-V3,Backbone Training,others-2,—,V3,SMPNN-8,native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-8 on others-2; params=23.0M
B-others-2-V4,Backbone Training,others-2,—,V4,Vanilla-6 (C3),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-6 (C3) on others-2; params=16.4M
B-others-2-V6,Backbone Training,others-2,—,V6,SMPNN-6 alpha=1e-4 (D2),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-4 (D2) on others-2; params=17.2M
B-others-2-V7,Backbone Training,others-2,—,V7,SMPNN-6 + attention (B1),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 + attention (B1) on others-2; params=21.9M
B-others-2-V8a,Backbone Training,others-2,—,V8a,SMPNN-6 no-alpha (A2),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-alpha (A2) on others-2; params=17.2M
B-others-2-V8b,Backbone Training,others-2,—,V8b,SMPNN-6 no-FF (A3),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-FF (A3) on others-2; params=14.0M
B-others-2-V8c,Backbone Training,others-2,—,V8c,SMPNN-6 no-GNN-LN (A4),native (training-only),0,0,SKIP (anchors only on this family),0.0,—,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 no-GNN-LN (A4) on others-2; params=17.2M
I-commerce-1-V1-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V1,SMPNN-4 (parity),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V1,SMPNN-4 (parity) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V1-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V1,SMPNN-4 (parity),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V1,SMPNN-4 (parity) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V3-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V3,SMPNN-8,tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V3,SMPNN-8 embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V3-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V3,SMPNN-8,tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V3,SMPNN-8 embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V4-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V4,Vanilla-6 (C3),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V4,Vanilla-6 (C3) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V4-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V4,Vanilla-6 (C3),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V4,Vanilla-6 (C3) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V6-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V6,SMPNN-6 alpha=1e-4 (D2),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V6-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V6,SMPNN-6 alpha=1e-4 (D2),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V7-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V7,SMPNN-6 + attention (B1),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V7,SMPNN-6 + attention (B1) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V7-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V7,SMPNN-6 + attention (B1),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V7,SMPNN-6 + attention (B1) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V8a-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V8a,SMPNN-6 no-alpha (A2),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V8a,SMPNN-6 no-alpha (A2) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V8a-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V8a,SMPNN-6 no-alpha (A2),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V8a,SMPNN-6 no-alpha (A2) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V8b-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V8b,SMPNN-6 no-FF (A3),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V8b,SMPNN-6 no-FF (A3) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V8b-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V8b,SMPNN-6 no-FF (A3),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V8b,SMPNN-6 no-FF (A3) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-1-V8c-tabicl-zs,In-dist ICL eval,commerce-1,commerce-1,V8c,SMPNN-6 no-GNN-LN (A4),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabicl-zs no-proj on commerce-1
I-commerce-1-V8c-tabpfn-zs,In-dist ICL eval,commerce-1,commerce-1,V8c,SMPNN-6 no-GNN-LN (A4),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-1-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabpfn-zs no-proj on commerce-1
I-commerce-2-V1-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V1,SMPNN-4 (parity),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V1,SMPNN-4 (parity) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V1-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V1,SMPNN-4 (parity),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V1,SMPNN-4 (parity) embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V3-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V3,SMPNN-8,tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V3,SMPNN-8 embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V3-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V3,SMPNN-8,tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V3,SMPNN-8 embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V4-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V4,Vanilla-6 (C3),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V4,Vanilla-6 (C3) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V4-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V4,Vanilla-6 (C3),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V4,Vanilla-6 (C3) embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V6-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V6,SMPNN-6 alpha=1e-4 (D2),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V6-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V6,SMPNN-6 alpha=1e-4 (D2),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V7-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V7,SMPNN-6 + attention (B1),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V7,SMPNN-6 + attention (B1) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V7-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V7,SMPNN-6 + attention (B1),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V7,SMPNN-6 + attention (B1) embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V8a-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V8a,SMPNN-6 no-alpha (A2),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V8a,SMPNN-6 no-alpha (A2) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V8a-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V8a,SMPNN-6 no-alpha (A2),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V8a,SMPNN-6 no-alpha (A2) embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V8b-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V8b,SMPNN-6 no-FF (A3),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V8b,SMPNN-6 no-FF (A3) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V8b-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V8b,SMPNN-6 no-FF (A3),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V8b,SMPNN-6 no-FF (A3) embedding -> tabpfn-zs no-proj on commerce-2
I-commerce-2-V8c-tabicl-zs,In-dist ICL eval,commerce-2,commerce-2,V8c,SMPNN-6 no-GNN-LN (A4),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabicl-zs no-proj on commerce-2
I-commerce-2-V8c-tabpfn-zs,In-dist ICL eval,commerce-2,commerce-2,V8c,SMPNN-6 no-GNN-LN (A4),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-commerce-2-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabpfn-zs no-proj on commerce-2
I-others-2-V1-tabicl-zs,In-dist ICL eval,others-2,others-2,V1,SMPNN-4 (parity),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V1,SMPNN-4 (parity) embedding -> tabicl-zs no-proj on others-2
I-others-2-V1-tabpfn-zs,In-dist ICL eval,others-2,others-2,V1,SMPNN-4 (parity),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V1,SMPNN-4 (parity) embedding -> tabpfn-zs no-proj on others-2
I-others-2-V3-tabicl-zs,In-dist ICL eval,others-2,others-2,V3,SMPNN-8,tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V3,SMPNN-8 embedding -> tabicl-zs no-proj on others-2
I-others-2-V3-tabpfn-zs,In-dist ICL eval,others-2,others-2,V3,SMPNN-8,tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V3,SMPNN-8 embedding -> tabpfn-zs no-proj on others-2
I-others-2-V4-tabicl-zs,In-dist ICL eval,others-2,others-2,V4,Vanilla-6 (C3),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V4,Vanilla-6 (C3) embedding -> tabicl-zs no-proj on others-2
I-others-2-V4-tabpfn-zs,In-dist ICL eval,others-2,others-2,V4,Vanilla-6 (C3),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V4,Vanilla-6 (C3) embedding -> tabpfn-zs no-proj on others-2
I-others-2-V6-tabicl-zs,In-dist ICL eval,others-2,others-2,V6,SMPNN-6 alpha=1e-4 (D2),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabicl-zs no-proj on others-2
I-others-2-V6-tabpfn-zs,In-dist ICL eval,others-2,others-2,V6,SMPNN-6 alpha=1e-4 (D2),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V6,SMPNN-6 alpha=1e-4 (D2) embedding -> tabpfn-zs no-proj on others-2
I-others-2-V7-tabicl-zs,In-dist ICL eval,others-2,others-2,V7,SMPNN-6 + attention (B1),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V7,SMPNN-6 + attention (B1) embedding -> tabicl-zs no-proj on others-2
I-others-2-V7-tabpfn-zs,In-dist ICL eval,others-2,others-2,V7,SMPNN-6 + attention (B1),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V7,SMPNN-6 + attention (B1) embedding -> tabpfn-zs no-proj on others-2
I-others-2-V8a-tabicl-zs,In-dist ICL eval,others-2,others-2,V8a,SMPNN-6 no-alpha (A2),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V8a,SMPNN-6 no-alpha (A2) embedding -> tabicl-zs no-proj on others-2
I-others-2-V8a-tabpfn-zs,In-dist ICL eval,others-2,others-2,V8a,SMPNN-6 no-alpha (A2),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V8a,SMPNN-6 no-alpha (A2) embedding -> tabpfn-zs no-proj on others-2
I-others-2-V8b-tabicl-zs,In-dist ICL eval,others-2,others-2,V8b,SMPNN-6 no-FF (A3),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V8b,SMPNN-6 no-FF (A3) embedding -> tabicl-zs no-proj on others-2
I-others-2-V8b-tabpfn-zs,In-dist ICL eval,others-2,others-2,V8b,SMPNN-6 no-FF (A3),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V8b,SMPNN-6 no-FF (A3) embedding -> tabpfn-zs no-proj on others-2
I-others-2-V8c-tabicl-zs,In-dist ICL eval,others-2,others-2,V8c,SMPNN-6 no-GNN-LN (A4),tabicl-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabicl-zs no-proj on others-2
I-others-2-V8c-tabpfn-zs,In-dist ICL eval,others-2,others-2,V8c,SMPNN-6 no-GNN-LN (A4),tabpfn-zs,0,0,SKIP,0.0,—,T1 in-dist ablation,requires backbone B-others-2-V8c,SMPNN-6 no-GNN-LN (A4) embedding -> tabpfn-zs no-proj on others-2
